productName,rating,reviewText
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1,bad product better go 10k phone much better
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, bad price worthy taken anyone search 
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, phone good much folding mark plastic screen overpriced
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1,bad product better go 10k phone much better
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, bad price worthy taken anyone search 
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, phone good much folding mark plastic screen overpriced
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, product delivered march mid july screen promised slim seamless glass samsung actually plastic crease folds got damaged internally small bubbles crease went samsung care warranty claim rejected rohini new delhi center given reason claim rejectionfeeling cheated buying premium phone
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1,screen damage within first 2 months overrated phone warrant given samsung charge 48k screen replacement dont fall 1 year warranty gimmick
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, dont waste money higher prices mobile instead buy laptop childrens educational school feeafter finally speak phonehigher prices mobile come prices within months
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, screen plastic break three months
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1,golden goose samsung fragile handle screen looks like acrylic prones lots creases across screen repetitive usage price range one opt note 10 plus way far better may pros heart breaker long run one need pen go clean s10 s20 sturdy durable z flip samsung basically disadvantage flip samsung hello moto lenovo hmd nokia
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, waste money
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, wrost
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, difficult carrying one hand little bit balky
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1,screen damaged within 2 months purchase warranty claim gimmickno point spending much money ridiculous productscreen replacement 48k absolutely support samsung service centre
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1,dont buy want buy buy samsung note 20 ultra phone waste money
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, display pure foldable glass plastic layer folding glass dont beleive watch durability test z flip youtube channel jerryrigeverything
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1,bad product better go 10k phone much better
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, bad price worthy taken anyone search 
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, phone good much folding mark plastic screen overpriced
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1,bad product better go 10k phone much better
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, bad price worthy taken anyone search 
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, phone good much folding mark plastic screen overpriced
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, product delivered march mid july screen promised slim seamless glass samsung actually plastic crease folds got damaged internally small bubbles crease went samsung care warranty claim rejected rohini new delhi center given reason claim rejectionfeeling cheated buying premium phone
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1,screen damage within first 2 months overrated phone warrant given samsung charge 48k screen replacement dont fall 1 year warranty gimmick
"Samsung Galaxy Z Flip (Gold, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers",1, dont waste money higher prices mobile instead buy laptop childrens educational school feeafter finally speak phonehigher prices mobile come prices within months
